dec	char	cntrl	space	punct	alnum	print
0	null	T	F	F	F	F
1	SOH	T	F	F	F	F
2	STX	T	F	F	F	F
3	ETX	T	F	F	F	F
4	EOT	T	F	F	F	F
5	ENQ	T	F	F	F	F
6	ACK	T	F	F	F	F
7	BEL	T	F	F	F	F
8	BS	T	F	F	F	F
9	TAB	T	T	F	F	F
10	LF	T	T	F	F	F
11	VT	T	T	F	F	F
12	FF	T	T	F	F	F
13	CR	T	T	F	F	F
14	SO	T	F	F	F	F
15	SI	T	F	F	F	F
16	DLE	T	F	F	F	F
17	DC1	T	F	F	F	F
18	DC2	T	F	F	F	F
19	DC3	T	F	F	F	F
20	DC4	T	F	F	F	F
21	NAK	T	F	F	F	F
22	SYN	T	F	F	F	F
23	ETB	T	F	F	F	F
24	CAN	T	F	F	F	F
25	EM	T	F	F	F	F
26	SUB	T	F	F	F	F
27	ESC	T	F	F	F	F
28	FS	T	F	F	F	F
29	GS	T	F	F	F	F
30	RS	T	F	F	F	F
31	US	T	F	F	F	F
32	Space	F	T	F	F	T
33	!	F	F	T	F	T
34	""""	F	F	T	F	T
35	#	F	F	T	F	T
36	$	F	F	T	F	T
37	%	F	F	T	F	T
38	&	F	F	T	F	T
39	'	F	F	T	F	T
40	(	F	F	T	F	T
41	)	F	F	T	F	T
42	*	F	F	T	F	T
43	+	F	F	T	F	T
44	,	F	F	T	F	T
45	-	F	F	T	F	T
46	.	F	F	T	F	T
47	/	F	F	T	F	T
48	0	F	F	F	T	T
49	1	F	F	F	T	T
50	2	F	F	F	T	T
51	3	F	F	F	T	T
52	4	F	F	F	T	T
53	5	F	F	F	T	T
54	6	F	F	F	T	T
55	7	F	F	F	T	T
56	8	F	F	F	T	T
57	9	F	F	F	T	T
58	:	F	F	T	F	T
59	;	F	F	T	F	T
60	<	F	F	T	F	T
61	=	F	F	T	F	T
62	>	F	F	T	F	T
63	?	F	F	T	F	T
64	@	F	F	T	F	T
65	A	F	F	F	T	T
66	B	F	F	F	T	T
67	C	F	F	F	T	T
68	D	F	F	F	T	T
69	E	F	F	F	T	T
70	F	F	F	F	T	T
71	G	F	F	F	T	T
72	H	F	F	F	T	T
73	I	F	F	F	T	T
74	J	F	F	F	T	T
75	K	F	F	F	T	T
76	L	F	F	F	T	T
77	M	F	F	F	T	T
78	N	F	F	F	T	T
79	O	F	F	F	T	T
80	P	F	F	F	T	T
81	Q	F	F	F	T	T
82	R	F	F	F	T	T
83	S	F	F	F	T	T
84	T	F	F	F	T	T
85	U	F	F	F	T	T
86	V	F	F	F	T	T
87	W	F	F	F	T	T
88	X	F	F	F	T	T
89	Y	F	F	F	T	T
90	Z	F	F	F	T	T
91	[	F	F	T	F	T
92	\	F	F	T	F	T
93	]	F	F	T	F	T
94	^	F	F	T	F	T
95	_	F	F	T	F	T
96	`	F	F	T	F	T
97	a	F	F	F	T	T
98	b	F	F	F	T	T
99	c	F	F	F	T	T
100	d	F	F	F	T	T
101	e	F	F	F	T	T
102	f	F	F	F	T	T
103	g	F	F	F	T	T
104	h	F	F	F	T	T
105	i	F	F	F	T	T
106	j	F	F	F	T	T
107	k	F	F	F	T	T
108	l	F	F	F	T	T
109	m	F	F	F	T	T
110	n	F	F	F	T	T
111	o	F	F	F	T	T
112	p	F	F	F	T	T
113	q	F	F	F	T	T
114	r	F	F	F	T	T
115	s	F	F	F	T	T
116	t	F	F	F	T	T
117	u	F	F	F	T	T
118	v	F	F	F	T	T
119	w	F	F	F	T	T
120	x	F	F	F	T	T
121	y	F	F	F	T	T
122	z	F	F	F	T	T
123	{	F	F	T	F	T
124	|	F	F	T	F	T
125	}	F	F	T	F	T
126	~	F	F	T	F	T
127	DEL	T	F	F	F	F
